id;produto_id;url;ordem;principal;created_at
1;1;/img/produtos/1/foto-01.jpg;1;1;2025-08-27 07:55:26
2;1;/img/produtos/1/foto-02.jpg;2;0;2025-08-01 19:42:21
3;2;/img/produtos/2/foto-01.jpg;1;1;2025-05-22 23:26:31
4;2;/img/produtos/2/foto-02.jpg;2;0;2024-08-19 10:45:29
5;2;/img/produtos/2/foto-03.jpg;3;0;2024-11-18 23:40:53
6;3;/img/produtos/3/foto-01.jpg;1;1;2025-07-09 21:11:21
7;3;/img/produtos/3/foto-02.jpg;2;0;2024-10-26 01:03:13
8;3;/img/produtos/3/foto-03.jpg;3;0;2024-10-26 17:33:47
9;4;/img/produtos/4/foto-01.jpg;1;1;2025-09-27 08:09:13
10;4;/img/produtos/4/foto-02.jpg;2;0;2025-06-18 13:43:01
11;4;/img/produtos/4/foto-03.jpg;3;0;2025-11-09 04:28:25
12;5;/img/produtos/5/foto-01.jpg;1;1;2025-04-07 23:01:00
13;5;/img/produtos/5/foto-02.jpg;2;0;2024-06-28 07:53:44
14;6;/img/produtos/6/foto-01.jpg;1;1;2025-09-28 02:56:41
15;6;/img/produtos/6/foto-02.jpg;2;0;2025-04-28 08:18:00
16;6;/img/produtos/6/foto-03.jpg;3;0;2025-01-19 09:45:02
17;7;/img/produtos/7/foto-01.jpg;1;1;2025-06-12 13:22:29
18;7;/img/produtos/7/foto-02.jpg;2;0;2025-11-07 06:14:43
19;8;/img/produtos/8/foto-01.jpg;1;1;2025-10-24 06:27:14
20;8;/img/produtos/8/foto-02.jpg;2;0;2025-05-03 23:01:17
21;8;/img/produtos/8/foto-03.jpg;3;0;2025-05-09 22:30:29
22;9;/img/produtos/9/foto-01.jpg;1;1;2025-04-25 14:51:31
23;9;/img/produtos/9/foto-02.jpg;2;0;2025-06-07 00:13:40
24;9;/img/produtos/9/foto-03.jpg;3;0;2025-10-10 12:15:41
25;10;/img/produtos/10/foto-01.jpg;1;1;2025-07-30 21:48:00
26;10;/img/produtos/10/foto-02.jpg;2;0;2025-11-15 04:06:53
